ip_id,prov
2,ลำพูน                                   
6,นครปฐม                                  
6,นครราชสีมา                              
8,นครราชสีมา                              
12,ปทุมธานี                                
12,อุตรดิตถ์                               
14,พังงา                                   
14,ภูเก็ต                                  
14,มุกดาหาร                                
16,ปัตตานี                                 
20,ปทุมธานี                                
26,ปัตตานี                                 
28,เชียงราย                                
30,สิงห์บุรี                               
32,นนทบุรี                                 
34,นครนายก                                 
38,ตรัง                                    
41,กำแพงเพชร                               
44,ขอนแก่น                                 
46,อุตรดิตถ์                               
48,ระยอง                                   
49,ปราจีนบุรี                              
50,ปทุมธานี                                
50,ลำพูน                                   
52,ปทุมธานี                                
55,ระนอง                                   
59,ปราจีนบุรี                              
61,ตรัง                                    
63,กำแพงเพชร                               
63,นนทบุรี                                 
66,ปราจีนบุรี                              
67,ตรัง                                    
67,แม่ฮ่องสอน                              
72,อุดรธานี                                
73,เชียงราย                                
79,นนทบุรี                                 
84,หนองบัวลำภู                             
89,นราธิวาส                                
89,พังงา                                   
90,กระบี่                                  
90,ภูเก็ต                                  
90,ลำพูน                                   
91,ภูเก็ต                                  
92,ตรัง                                    
92,แม่ฮ่องสอน                              
93,อ่างทอง                                 
96,บุรีรัมย์                               
98,ตาก                                     
100,นครนายก                                 
102,ปราจีนบุรี                              
102,สระแก้ว                                 
103,หนองบัวลำภู                             
104,พิษณุโลก                                
104,อุตรดิตถ์                               
109,ปัตตานี                                 
110,พิษณุโลก                                
110,อุดรธานี                                
111,ยโสธร                                   
113,ตรัง                                    
115,นนทบุรี                                 
115,นราธิวาส                                
116,นครนายก                                 
118,อุดรธานี                                
119,ชลบุรี                                  
119,สุราษฎร์ธานี                            
121,ตรัง                                    
124,อุตรดิตถ์                               
125,ปทุมธานี                                
126,ปทุมธานี                                
127,ปัตตานี                                 
128,ลำพูน                                   
129,พะเยา                                   
130,สิงห์บุรี                               
135,ลำพูน                                   
137,ระนอง                                   
138,หนองบัวลำภู                             
139,ลำปาง                                   
140,ตราด                                    
142,ตราด                                    
145,เพชรบูรณ์                               
146,กระบี่                                  
146,ลำปาง                                   
148,ตราด                                    
149,ปราจีนบุรี                              
150,มุกดาหาร                                
153,ขอนแก่น                                 
155,กาฬสินธุ์                               
155,อุดรธานี                                
155,อ่างทอง                                 
156,สิงห์บุรี                               
157,กาฬสินธุ์                               
157,นนทบุรี                                 
157,บึงกาฬ                                  
157,อุดรธานี                                
163,นครนายก                                 
164,ราชบุรี                                 
165,บึงกาฬ                                  
166,พังงา                                   
168,นนทบุรี                                 
168,หนองบัวลำภู                             
170,ขอนแก่น                                 
170,สุรินทร์                                
172,กาฬสินธุ์                               
172,กำแพงเพชร                               
173,ปทุมธานี                                
174,บึงกาฬ                                  
174,พิษณุโลก                                
176,กาฬสินธุ์                               
182,ปทุมธานี                                
189,ขอนแก่น                                 
190,บุรีรัมย์                               
190,ระยอง                                   
192,ตรัง                                    
192,ปทุมธานี                                
194,นครราชสีมา                              
194,สมุทรสาคร                               
195,สุราษฎร์ธานี                            
197,ภูเก็ต                                  
201,ยโสธร                                   
201,เพชรบูรณ์                               
202,ภูเก็ต                                  
203,ขอนแก่น                                 
203,สุราษฎร์ธานี                            
204,นครพนม                                  
204,ปทุมธานี                                
204,อุดรธานี                                
205,บึงกาฬ                                  
207,มุกดาหาร                                
212,นครปฐม                                  
214,นครพนม                                  
214,สุรินทร์                                
214,แม่ฮ่องสอน                              
216,นนทบุรี                                 
218,นนทบุรี                                 
218,เชียงราย                                
219,นครพนม                                  
219,นนทบุรี                                 
222,มุกดาหาร                                
223,สิงห์บุรี                               
223,อุตรดิตถ์                               
225,นครปฐม                                  
225,สุราษฎร์ธานี                            
226,เชียงราย                                
229,กาฬสินธุ์                               
229,อุดรธานี                                
230,กำแพงเพชร                               
231,เพชรบูรณ์                               
233,ลำพูน                                   
234,ตราด                                    
234,บึงกาฬ                                  
236,ขอนแก่น                                 
237,สุรินทร์                                
242,ชลบุรี                                  
242,พิษณุโลก                                
242,ระยอง                                   
243,ปัตตานี                                 
247,กำแพงเพชร                               
247,ยโสธร                                   
248,แม่ฮ่องสอน                              
249,นครราชสีมา                              
249,ปทุมธานี                                
249,สุราษฎร์ธานี                            
250,นครพนม                                  
256,นนทบุรี                                 
256,พิษณุโลก                                
257,นราธิวาส                                
258,บุรีรัมย์                               
258,ระนอง                                   
264,ปราจีนบุรี                              
265,สมุทรปราการ                             
266,ภูเก็ต                                  
268,ตาก                                     
269,นราธิวาส                                
269,ปราจีนบุรี                              
269,มุกดาหาร                                
269,ลำปาง                                   
269,สระแก้ว                                 
270,ลำปาง                                   
271,แม่ฮ่องสอน                              
275,พะเยา                                   
275,ยโสธร                                   
277,กระบี่                                  
278,นครราชสีมา                              
278,ยโสธร                                   
282,สุราษฎร์ธานี                            
283,กำแพงเพชร                               
284,สิงห์บุรี                               
286,อุดรธานี                                
289,นราธิวาส                                
289,ลำปาง                                   
290,ลำปาง                                   
290,อุตรดิตถ์                               
291,นครพนม                                  
291,ปราจีนบุรี                              
292,ชลบุรี                                  
300,กำแพงเพชร                               
300,ขอนแก่น                                 
302,ลำพูน                                   
304,อุดรธานี                                
305,เชียงราย                                
307,บุรีรัมย์                               
311,ปราจีนบุรี                              
311,ภูเก็ต                                  
312,ราชบุรี                                 
312,หนองบัวลำภู                             
313,ลำปาง                                   
313,เชียงราย                                
315,นครปฐม                                  
317,ตรัง                                    
319,ระยอง                                   
320,บุรีรัมย์                               
323,นครนายก                                 
323,ลำปาง                                   
328,นครราชสีมา                              
331,หนองบัวลำภู                             
332,นครราชสีมา                              
333,สมุทรปราการ                             
337,สิงห์บุรี                               
338,นครนายก                                 
338,ภูเก็ต                                  
338,เชียงราย                                
339,ลำปาง                                   
340,บุรีรัมย์                               
340,ปทุมธานี                                
341,มุกดาหาร                                
347,ตาก                                     
349,ตรัง                                    
349,บุรีรัมย์                               
350,ลำปาง                                   
352,ยโสธร                                   
353,ตราด                                    
354,นครนายก                                 
354,ยโสธร                                   
354,เชียงราย                                
357,นนทบุรี                                 
362,ตรัง                                    
364,ปัตตานี                                 
364,สมุทรปราการ                             
365,กำแพงเพชร                               
369,นราธิวาส                                
371,นครราชสีมา                              
374,ปทุมธานี                                
374,ระยอง                                   
375,อุตรดิตถ์                               
