ip_id,label,n_huge_CR,n_huge_DR,diff_huge_train_CR_DR,n_ATM,n_Branch,n_CDM,n_CorporateConnect,n_EDC,n_KPlus,most_frequent_channel,n_CR_ATM,n_CR_Branch,n_CR_CDM,n_CR_CorporateConnect,n_CR_EDC,n_CR_KPlus,most_frequent_CR_channel,n_DR_ATM,n_DR_Branch,n_DR_CorporateConnect,n_DR_EDC,n_DR_KPlus,most_frequent_DR_channel,n_CR,n_DR,diff_n_CR_DR,most_frequent_tp,sum_amt_CR,sum_amt_DR,diff_sum_amt_CR_DR,sum_amt_CR_per_month,sum_amt_DR_per_month,max_sum_amt_tp,avg_amt_CR,avg_amt_DR,diff_avg_amt_CR_DR,max_avg_amt_tp
1,0.0,0,0,0,7.0,8.0,7.0,8.0,3.0,9.0,n_KPlus,3.0,3.0,7.0,5.0,0.0,3.0,n_CR_CDM,4.0,5.0,3.0,3.0,6.0,n_DR_KPlus,21,21,0,n_CR,108186.0,92468.0,15718.0,7727.571428571428,6604.857142857143,sum_amt_CR,5151.714285714285,4403.238095238095,748.4761904761899,avg_amt_CR
2,0.0,0,0,0,5.0,7.0,7.0,9.0,3.0,10.0,n_KPlus,2.0,2.0,7.0,5.0,0.0,3.0,n_CR_CDM,3.0,5.0,4.0,3.0,7.0,n_DR_KPlus,19,22,-3,n_DR,132896.0,97130.0,35766.0,9492.57142857143,6937.857142857143,sum_amt_CR,6994.526315789473,4415.0,2579.5263157894733,avg_amt_CR
3,0.0,0,0,0,9.0,10.0,1.0,11.0,2.0,9.0,n_CorporateConnect,3.0,4.0,1.0,6.0,0.0,3.0,n_CR_CorporateConnect,6.0,6.0,5.0,2.0,6.0,n_DR_ATM,17,25,-8,n_DR,88173.0,106546.0,-18373.0,6298.071428571428,7610.428571428572,sum_amt_DR,5186.64705882353,4261.84,924.8070588235296,avg_amt_CR
4,0.0,0,0,0,6.0,5.0,4.0,6.0,5.0,8.0,n_KPlus,3.0,2.0,4.0,4.0,0.0,3.0,n_CR_CDM,3.0,3.0,2.0,5.0,5.0,n_DR_EDC,16,18,-2,n_DR,66781.0,36645.0,30136.0,4770.071428571428,2617.5,sum_amt_CR,4173.8125,2035.8333333333333,2137.979166666667,avg_amt_CR
5,0.0,0,0,0,9.0,8.0,4.0,1.0,7.0,7.0,n_ATM,5.0,4.0,4.0,0.0,0.0,3.0,n_CR_ATM,4.0,4.0,1.0,7.0,4.0,n_DR_EDC,16,20,-4,n_DR,85706.0,103308.0,-17602.0,6121.857142857143,7379.142857142857,sum_amt_DR,5356.625,5165.4,191.22500000000036,avg_amt_CR
6,0.0,0,0,0,7.0,8.0,7.0,9.0,1.0,8.0,n_CorporateConnect,4.0,5.0,7.0,6.0,0.0,5.0,n_CR_CDM,3.0,3.0,3.0,1.0,3.0,n_DR_ATM,27,13,14,n_CR,177897.0,93252.0,84645.0,12706.92857142857,6660.857142857143,sum_amt_CR,6588.777777777777,7173.2307692307695,-584.4529914529921,avg_amt_DR
7,0.0,0,0,0,9.0,5.0,1.0,8.0,5.0,6.0,n_ATM,5.0,1.0,1.0,3.0,0.0,1.0,n_CR_ATM,4.0,4.0,5.0,5.0,5.0,n_DR_CorporateConnect,11,23,-12,n_DR,57819.0,158313.0,-100494.0,4129.928571428572,11308.07142857143,sum_amt_DR,5256.272727272727,6883.173913043478,-1626.901185770751,avg_amt_DR
8,0.0,0,0,0,6.0,8.0,4.0,7.0,4.0,7.0,n_Branch,3.0,3.0,4.0,5.0,0.0,3.0,n_CR_CorporateConnect,3.0,5.0,2.0,4.0,4.0,n_DR_Branch,18,18,0,n_CR,106435.0,65809.0,40626.0,7602.5,4700.642857142857,sum_amt_CR,5913.055555555556,3656.0555555555557,2257.0,avg_amt_CR
9,0.0,0,0,0,6.0,9.0,4.0,8.0,3.0,5.0,n_Branch,2.0,5.0,4.0,3.0,0.0,2.0,n_CR_Branch,4.0,4.0,5.0,3.0,3.0,n_DR_CorporateConnect,16,19,-3,n_DR,81591.0,106113.0,-24522.0,5827.928571428572,7579.5,sum_amt_DR,5099.4375,5584.894736842105,-485.457236842105,avg_amt_DR
10,0.0,0,0,0,7.0,10.0,8.0,8.0,4.0,5.0,n_Branch,4.0,5.0,8.0,7.0,0.0,4.0,n_CR_CDM,3.0,5.0,1.0,4.0,1.0,n_DR_Branch,28,14,14,n_CR,136755.0,63392.0,73363.0,9768.214285714286,4528.0,sum_amt_CR,4884.107142857143,4528.0,356.1071428571431,avg_amt_CR
