,ip_id,amt,diff_days,CR,DR,ATM,Branch,CDM,CorporateConnect,EDC,KPlus
0,1,4868.512195121952,9.487804878048781,21.0,20.0,7.0,8.0,7.0,8.0,2.0,9.0
1,2,5610.390243902439,9.878048780487806,19.0,22.0,5.0,7.0,7.0,9.0,3.0,10.0
2,3,4636.166666666667,9.595238095238095,17.0,25.0,9.0,10.0,1.0,11.0,2.0,9.0
3,4,3041.9411764705883,11.705882352941176,16.0,18.0,6.0,5.0,4.0,6.0,5.0,8.0
4,5,5250.388888888889,11.11111111111111,16.0,20.0,9.0,8.0,4.0,1.0,7.0,7.0
5,6,6778.725,10.15,27.0,13.0,7.0,8.0,7.0,9.0,1.0,8.0
6,7,6356.823529411765,11.676470588235293,11.0,23.0,9.0,5.0,1.0,8.0,5.0,6.0
7,8,4784.555555555556,11.027777777777779,18.0,18.0,6.0,8.0,4.0,7.0,4.0,7.0
8,9,5362.971428571429,11.6,16.0,19.0,6.0,9.0,4.0,8.0,3.0,5.0
9,10,4765.4047619047615,9.380952380952381,28.0,14.0,7.0,10.0,8.0,8.0,4.0,5.0
10,11,5469.777777777777,7.574074074074074,27.0,27.0,13.0,13.0,5.0,14.0,3.0,6.0
11,12,5477.0,10.942857142857143,15.0,20.0,11.0,5.0,5.0,3.0,2.0,9.0
12,13,6077.8,9.575,23.0,17.0,9.0,10.0,5.0,7.0,1.0,8.0
13,14,4793.192307692308,14.961538461538462,15.0,11.0,8.0,7.0,2.0,4.0,2.0,3.0
14,15,5293.545454545455,9.181818181818182,28.0,16.0,11.0,4.0,7.0,7.0,4.0,11.0
15,16,4015.9714285714285,11.085714285714285,20.0,15.0,4.0,7.0,1.0,10.0,6.0,7.0
16,17,5546.235294117647,11.411764705882353,17.0,17.0,7.0,4.0,4.0,7.0,2.0,10.0
17,18,5338.022727272727,9.340909090909092,23.0,21.0,15.0,7.0,3.0,7.0,3.0,9.0
18,19,5914.0,15.26923076923077,11.0,15.0,6.0,6.0,3.0,4.0,3.0,4.0
19,20,4532.31914893617,8.297872340425531,24.0,23.0,11.0,10.0,4.0,11.0,5.0,6.0
20,21,5691.653846153846,15.0,14.0,12.0,5.0,8.0,3.0,5.0,2.0,3.0
21,22,5882.35,10.275,22.0,18.0,9.0,8.0,8.0,9.0,1.0,5.0
22,23,4349.305555555556,11.36111111111111,19.0,17.0,12.0,8.0,4.0,6.0,1.0,5.0
23,24,5339.46875,11.875,19.0,13.0,6.0,5.0,6.0,9.0,2.0,4.0
24,25,6336.105263157895,10.473684210526315,20.0,18.0,9.0,4.0,6.0,6.0,3.0,10.0
25,26,4847.795454545455,8.181818181818182,23.0,21.0,6.0,9.0,4.0,12.0,3.0,10.0
